"author","year","title","doi","search","relevance","NM","NMspecific","coating","coatingtype","NMsize","NMsizeunits","NMconc","NMconcunits","applicationsite","presspulse","kingdom","phylum","class","order","family","genus","species","generalorganism","organism","trophiclevel","ecosystemgeneral","ecosystemspecific","settinggeneral","settingspecific","duration_days","responsegeneral","responsespecific","responseunits","expn","expmean","expsd","conn","conmean","consd","RRsignif_yn","RRp_modifier","RRp_value","response_nonRR","responseunits_nonRR","responsesd_nonRR","n_nonRR","MPcomparison_yn","MPsignif_yn","MPeffectdirection","MPp_modifier","MPp_value","IONcomparison_yn","IONsignif_yn","IONeffectdirection","IONp_modifier","IONp_value","expgeary","congeary","responseratio","RRvar","RRadj","RRadjvar","newcat","newtrophic","NMconcfixed","response_nonRRfixed","NMconcfixedunits","response_nonRRfixedunits","NMconcfixedmmol","response_nonRRfixedmmol","NMconcfixedmmolunits","response_nonRRfixedmmolunits"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Cu","CuO","no",NA,24.5,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Heterocypris","incongruens","zooplankton","Heterocypris incongruens","Primary consumer","Aquatic","lake water","Lab","Indoor",6,"LD/LC50","LC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,"mg/L",1.43,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",10,2.2,"mg/L","mg/L",0.125715004085738,0.0276573008988623,"mmol/L","mmol/L"
"Muna ",2019,"Combined Effects of Test Media and Dietary Algae on the Toxicity of CuO and ZnO Nanoparticles to Freshwater Microcrustaceans Daphnia magna and Heterocypris incongruens: Food for Thought","10.3390/nano9010023","Aq. Producers",82,"Zn","ZnO","no",NA,13.6,"nm",10,"mg/L","environment","pulse","Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Heterocypris","incongruens","zooplankton","Heterocypris incongruens","Primary consumer","Aquatic","lake water","Lab","Indoor",6,"LD/LC50","LC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,"mg/L",0.11,NA,"yes","not clear","smaller",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",10,0.65,"mg/L","mg/L",0.122880314573605,0.00798722044728435,"mmol/L","mmol/L"
"Simonin ",2018,"Engineered nanoparticles interact with nutrients to intensify eutrophication in a wetland ecosystem experiment","10.1002/eap.1742","Aq. Producers",83,"Au","Au","yes","citrate",11.9,"nm",39.25,"ug/L","environment","press","Plantae","Tracheophytes","Monocots","Alismatales","Hydrocharitaceae","Egeria","densa","monocot","Egeria densa","Producer","Aquatic","groundwater","Mesocosm","Outdoor",269,"NP Concentration","concentration in Egeria stems","mg/kg dry",3,132.0855615,2.673796791,3,100,0,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,78.9815168398506,Inf,NA,NA,NA,NA,"Concentration","Aquatic producer",0.03925,NA,"mg/L",NA,0.000199272394295133,NA,"mmol/L",NA
"Simonin ",2018,"Engineered nanoparticles interact with nutrients to intensify eutrophication in a wetland ecosystem experiment","10.1002/eap.1742","Aq. Producers",83,"Au","Au","yes","citrate",11.9,"nm",39.25,"ug/L","environment","press","Plantae","Tracheophytes","Monocots","Alismatales","Hydrocharitaceae","Egeria","densa","monocot","Egeria densa","Producer","Aquatic","groundwater","Mesocosm","Outdoor",269,"growth","growth rates","mg m^-3 d^-1",3,8.108656447,1.433724076,3,6.296212804,0.595130748,"no","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,9.04236103558857,16.9147479325804,0.252983877771774,0.0133992022884809,0.256705341540265,0.013457936236553,"Growth","Aquatic producer",0.03925,NA,"mg/L",NA,0.000199272394295133,NA,"mmol/L",NA
"Gunawan ",2013,"Submicron and nano formulations of titanium dioxide and zinc oxide stimulate unique cellular toxicological responses in the green microalga Chlamydomonas reinhardtii","10.1016/j.jhazmat.2013.06.067","Aq. Producers",60,"Zn","ZnO","no",NA,19,"nm",0.01,"mg/L","environment","pulse",NA,"Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","reinhardtii","algae","Chlamydomonas reinhardtii","Producer","Aquatic","freshwater","Lab","Indoor",8,"growth","growth relative to control","%",3,155.7122708,6.770098731,3,100,0,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,36.7727709883923,Inf,0.44283970027955,0.000630119722852536,0.443154760140976,0.0006303182482851,"Growth","Aquatic producer",0.01,NA,"mg/L",NA,0.000122880314573605,NA,"mmol/L",NA
"Gunawan ",2013,"Submicron and nano formulations of titanium dioxide and zinc oxide stimulate unique cellular toxicological responses in the green microalga Chlamydomonas reinhardtii","10.1016/j.jhazmat.2013.06.067","Aq. Producers",60,"Zn","ZnO","no",NA,19,"nm",0.1,"mg/L","environment","pulse",NA,"Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","reinhardtii","algae","Chlamydomonas reinhardtii","Producer","Aquatic","freshwater","Lab","Indoor",8,"growth","growth relative to control","%",3,161.2976023,3.723554302,3,100,0,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,69.2578078314326,Inf,0.478080934184479,0.000177638994175499,0.478169753681567,0.000177654771981625,"Growth","Aquatic producer",0.1,NA,"mg/L",NA,0.00122880314573605,NA,"mmol/L",NA
"Gunawan ",2013,"Submicron and nano formulations of titanium dioxide and zinc oxide stimulate unique cellular toxicological responses in the green microalga Chlamydomonas reinhardtii","10.1016/j.jhazmat.2013.06.067","Aq. Producers",60,"Zn","ZnO","no",NA,19,"nm",1,"mg/L","environment","pulse",NA,"Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","reinhardtii","algae","Chlamydomonas reinhardtii","Producer","Aquatic","freshwater","Lab","Indoor",8,"growth","growth relative to control","%",3,159.9435825,2.369534556,3,100,0,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,107.920088759049,Inf,0.469650957689431,7.31595793598634e-05,0.469687537479111,7.31622555218894e-05,"Growth","Aquatic producer",1,NA,"mg/L",NA,0.0122880314573605,NA,"mmol/L",NA
"Gunawan ",2013,"Submicron and nano formulations of titanium dioxide and zinc oxide stimulate unique cellular toxicological responses in the green microalga Chlamydomonas reinhardtii","10.1016/j.jhazmat.2013.06.067","Aq. Producers",60,"Zn","ZnO","no",NA,19,"nm",10,"mg/L","environment","pulse",NA,"Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","reinhardtii","algae","Chlamydomonas reinhardtii","Producer","Aquatic","freshwater","Lab","Indoor",8,"growth","growth relative to control","%",3,155.8815233,0.338504937,3,100,0,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,736.254827003961,Inf,0.443926066695382,1.57188032240602e-06,0.443926852635543,1.57188155780989e-06,"Growth","Aquatic producer",10,NA,"mg/L",NA,0.122880314573605,NA,"mmol/L",NA
"Gunawan ",2013,"Submicron and nano formulations of titanium dioxide and zinc oxide stimulate unique cellular toxicological responses in the green microalga Chlamydomonas reinhardtii","10.1016/j.jhazmat.2013.06.067","Aq. Producers",60,"Zn","ZnO","no",NA,19,"nm",100,"mg/L","environment","pulse",NA,"Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","reinhardtii","algae","Chlamydomonas reinhardtii","Producer","Aquatic","freshwater","Lab","Indoor",8,"growth","growth relative to control","%",3,157.7433004,0.846262341,3,100,0,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,298.019326714888,Inf,0.45579884480078,9.59371756866105e-06,0.455803641659564,9.59376358836944e-06,"Growth","Aquatic producer",100,NA,"mg/L",NA,1.22880314573605,NA,"mmol/L",NA
"Wan",2018,"Assessing the toxicity of copper oxide nanoparticles and copper sulfate in a tropical Chlorella","10.1007/s10811-018-1408-3","Aq. Producers",42,"Cu","CuO","no",NA,40,"nm",NA,NA,"environment","pulse",NA,"Chlorophyta","Chlorophyceae","Chlorellales","Chlorellaceae","Chlorella",NA,"algae","Chlorella","Producer","Terrestrial","soil","Lab","Indoor",4,"ED/EC50","chlorophyll-a concentration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,"mM",NA,NA,"no",NA,NA,NA,NA,"yes","not clear","smaller",NA,NA,NA,NA,NA,NA,NA,NA,"EC50","Terrestrial producer",NA,82.6098,NA,"mg/L",NA,1.0385291344522,NA,"mmol/L"
"Zhang",2019,"Dominant Role of Silver Ions in Silver Nanoparticle Toxicity to a Unicellular Alga: Evidence from Luminogen Imaging","10.1021/acs.est.8b04918","Aq. Producers",48,"Ag","Ag","yes","citrate",20,"nm",NA,NA,"environment","pulse",NA,"Euglenozoa","Euglenoidea","Euglenales","Euglenaceae","Euglena","gracilis","protist","Euglena gracilis","Producer","Aquatic","freshwater","Lab","Indoor",3,"ED/EC50","growth inhibition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2741,"ug/L",410,3,"no",NA,NA,NA,NA,"yes","yes","smaller","<",0.05,NA,NA,NA,NA,NA,NA,"EC50","Aquatic producer",NA,2.741,NA,"mg/L",NA,0.0254106400218044,NA,"mmol/L"
"Zhang",2019,"Dominant Role of Silver Ions in Silver Nanoparticle Toxicity to a Unicellular Alga: Evidence from Luminogen Imaging","10.1021/acs.est.8b04918","Aq. Producers",48,"Ag","Ag","yes","citrate",60,"nm",NA,NA,"environment","pulse",NA,"Euglenozoa","Euglenoidea","Euglenales","Euglenaceae","Euglena","gracilis","protist","Euglena gracilis","Producer","Aquatic","freshwater","Lab","Indoor",3,"ED/EC50","growth inhibition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5030,"ug/L",416,3,"no",NA,NA,NA,NA,"yes","yes","smaller","<",0.05,NA,NA,NA,NA,NA,NA,"EC50","Aquatic producer",NA,5.03,NA,"mg/L",NA,0.0466309811418008,NA,"mmol/L"
"Glenn",2012,"Interactions of gold nanoparticles with freshwater aquatic macrophytes are size and species dependent","10.1002/etc.728","Aq. Producers",44,"Au","Au","yes","citrate",4,"nm",250,"ug/L","environment","pulse","Plantae","Tracheophytes","Eudicots","Saxifragales","Haloragaceae","Myriophyllum","simulans","eudicot","Myriophyllum simulans","Producer","Aquatic","freshwater","Lab","Indoor",1,"NP Concentration","dry tissue concentration","mg/kg",3,102.9885057,8.314176245,3,2.413793103,0.536398467,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,19.8046901186787,7.19467258975708,NA,NA,NA,NA,"Concentration","Aquatic producer",0.25,NA,"mg/L",NA,0.00126925091907728,NA,"mmol/L",NA
"Glenn",2012,"Interactions of gold nanoparticles with freshwater aquatic macrophytes are size and species dependent","10.1002/etc.728","Aq. Producers",44,"Au","Au","yes","citrate",4,"nm",250,"ug/L","environment","pulse","Plantae","Tracheophytes","Monocots","Alismatales","Hydrocharitaceae","Egeria","densa","monocot","Egeria densa","Producer","Aquatic","freshwater","Lab","Indoor",1,"NP Concentration","dry tissue concentration","mg/kg",3,43.98467433,5.095785441,3,0.268199234,0.804597701,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,13.8003076480781,0.53293871068356,NA,NA,NA,NA,"Concentration","Aquatic producer",0.25,NA,"mg/L",NA,0.00126925091907728,NA,"mmol/L",NA
"Glenn",2012,"Interactions of gold nanoparticles with freshwater aquatic macrophytes are size and species dependent","10.1002/etc.728","Aq. Producers",44,"Au","Au","yes","citrate",4,"nm",250,"ug/L","environment","pulse","Plantae","Tracheophytes","Polypodiopsida","Salviniales","Salviniaceae","Azolla","caroliniana","fern","Azolla caroliniana","Producer","Aquatic","lake water","Lab","Indoor",1,"NP Concentration","dry tissue concentration","mg/kg",3,129.8084291,15.55555556,3,2.681992337,4.022988506,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,13.3418449416855,1.06587741990991,NA,NA,NA,NA,"Concentration","Aquatic producer",0.25,NA,"mg/L",NA,0.00126925091907728,NA,"mmol/L",NA
"Glenn",2012,"Interactions of gold nanoparticles with freshwater aquatic macrophytes are size and species dependent","10.1002/etc.728","Aq. Producers",44,"Au","Au","yes","citrate",18,"nm",250,"ug/L","environment","pulse","Plantae","Tracheophytes","Eudicots","Saxifragales","Haloragaceae","Myriophyllum","simulans","eudicot","Myriophyllum simulans","Producer","Aquatic","freshwater","Lab","Indoor",1,"NP Concentration","dry tissue concentration","mg/kg",3,57.98230088,6.194690265,3,0.247787611,0.247787611,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,14.9649189772919,1.59881613006358,NA,NA,NA,NA,"Concentration","Aquatic producer",0.25,NA,"mg/L",NA,0.00126925091907728,NA,"mmol/L",NA
"Glenn",2012,"Interactions of gold nanoparticles with freshwater aquatic macrophytes are size and species dependent","10.1002/etc.728","Aq. Producers",44,"Au","Au","yes","citrate",18,"nm",250,"ug/L","environment","pulse","Plantae","Tracheophytes","Monocots","Alismatales","Hydrocharitaceae","Egeria","densa","monocot","Egeria densa","Producer","Aquatic","freshwater","Lab","Indoor",1,"NP Concentration","dry tissue concentration","mg/kg",3,56.24778761,12.14159292,3,0.743362832,0.247787611,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,7.4067604394085,4.79644838373837,NA,NA,NA,NA,"Concentration","Aquatic producer",0.25,NA,"mg/L",NA,0.00126925091907728,NA,"mmol/L",NA
"Glenn",2012,"Interactions of gold nanoparticles with freshwater aquatic macrophytes are size and species dependent","10.1002/etc.728","Aq. Producers",44,"Au","Au","yes","citrate",18,"nm",250,"ug/L","environment","pulse","Plantae","Tracheophytes","Polypodiopsida","Salviniales","Salviniaceae","Azolla","caroliniana","fern","Azolla caroliniana","Producer","Aquatic","lake water","Lab","Indoor",1,"NP Concentration","dry tissue concentration","mg/kg",3,56.99115044,5.699115044,3,0.495575221,0.495575221,"yes","<",0.05,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,15.9881613006358,1.59881613006358,NA,NA,NA,NA,"Concentration","Aquatic producer",0.25,NA,"mg/L",NA,0.00126925091907728,NA,"mmol/L",NA
"Minetto",2017,"Potential effects of TiO2 nanoparticles and TiCl4 in saltwater to Phaeodactylum tricornutum and Artemia franciscana","10.1016/j.scitotenv.2016.11.135","Aq. Producers",21,"Ti","TiO2","no",NA,21,"nm",NA,NA,"environment","pulse","Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","franciscana","microcrustacean","Artemia franciscana","Primary consumer","Aquatic","freshwater","Lab","Indoor",1,"LD/LC50","Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"mg/L",3,NA,"yes","yes","greater","<",0.05,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",NA,28,NA,"mg/L",NA,0.350587233616307,NA,"mmol/L"
"Minetto",2017,"Potential effects of TiO2 nanoparticles and TiCl4 in saltwater to Phaeodactylum tricornutum and Artemia franciscana","10.1016/j.scitotenv.2016.11.135","Aq. Producers",21,"Ti","TiO2","no",NA,21,"nm",NA,NA,"environment","pulse","Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","franciscana","microcrustacean","Artemia franciscana","Primary consumer","Aquatic","freshwater","Lab","Indoor",2,"LD/LC50","Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"mg/L",5,NA,"yes","yes","greater","<",0.05,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",NA,18,NA,"mg/L",NA,0.225377507324769,NA,"mmol/L"
"Minetto",2017,"Potential effects of TiO2 nanoparticles and TiCl4 in saltwater to Phaeodactylum tricornutum and Artemia franciscana","10.1016/j.scitotenv.2016.11.135","Aq. Producers",21,"Ti","TiO2","no",NA,21,"nm",NA,NA,"environment","pulse","Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","franciscana","microcrustacean","Artemia franciscana","Primary consumer","Aquatic","freshwater","Lab","Indoor",3,"LD/LC50","Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"mg/L",3,NA,"yes","yes","greater","<",0.05,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",NA,18,NA,"mg/L",NA,0.225377507324769,NA,"mmol/L"
"Minetto",2017,"Potential effects of TiO2 nanoparticles and TiCl4 in saltwater to Phaeodactylum tricornutum and Artemia franciscana","10.1016/j.scitotenv.2016.11.135","Aq. Producers",21,"Ti","TiO2","no",NA,21,"nm",NA,NA,"environment","pulse","Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","franciscana","microcrustacean","Artemia franciscana","Primary consumer","Aquatic","freshwater","Lab","Indoor",4,"LD/LC50","Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"mg/L",4,NA,"yes","yes","greater","<",0.05,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",NA,15,NA,"mg/L",NA,0.187814589437307,NA,"mmol/L"
"AlQahtani",2017,"Green and facile biosynthesis of silver nanocomposites using the aqueous extract of Rubus ellipticus leaves: Toxicity and oviposition deterrent activity against Zika virus, malaria and filariasis mosquito vectors","10.1016/j.aspen.2016.12.004","Aq. Producers",24,"Ag","Ag","no",NA,30,"nm",NA,NA,"environment","pulse","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","stephensi","insect","Anopheles stephensi","Omnivore","Aquatic","freshwater","Lab","Indoor",2,"LD/LC50","Mortality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,"ug/mL",2.61,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50","Animal",NA,12.5,NA,"mg/L",NA,0.115882159895131,NA,"mmol/L"
